"Lifetime.Approval.Rate","Gender","Age","Allexh.A4a4a4a4","Allexh.S2s3s2s3","Comments","Controlnumber","Controlqud","Eachsome.A4a4a4a4","Eachsome.N0n0s2s3","Eachsome.S2s2a4a4","Eachsome.S2s3s2s3","Eductation","Filler.A4s2a4s2","Filler.N0s3s2n0","Lang","Simpleexh.S2s2a4a4","Soemallexh.S2a4s2n0","Someexh.N0n0s2s3","Someexh.S3s3s2s2","Someobject.N0a4n0n0","Somesome.A4a4a4a4","Somesome.N0n0n0n0","Somesome.N0s3s2n0","Somesome.S3s3s2s2","Somesubject.A4a4a4a4","QuD","workerid"
"0% (0/0)","Female",53,1,0,"{}","4","when they show their aunt one of the special ed...",1,0,1,1,"Bachelors degree",1,1,"english",1,1,1,1,1,1,0,1,1,1,"eachany","44"
"100% (1/1)","Male",47,1,0,"{}","4","when they fing the marbles",0,0,0,1,"Some college, no degree",0,1,"English",0,1,1,1,0,1,0,1,1,1,"eachany","27"
"0% (0/0)","",30,1,0,"none","4","when they find the missing marbles",0,0,0,1,"Bachelors degree",0,1,"english",1,0,1,1,0,0,0,1,0,0,"eachany","36"
"0% (0/0)","Female",50,1,0,"{}","4","When they find their marbles",1,0,1,1,"Some High School",1,1,"English",1,1,1,1,1,1,0,1,1,1,"eachany","39"
"0% (0/0)","Female",39,1,0,"{}","4","when they find the marbles",1,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"englush",0,1,1,1,1,1,0,1,1,1,"eachany","16"
"0% (0/0)","Male",54,1,0,"thank you","4","When they find the marbles",0,0,0,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",0,0,1,1,0,0,0,1,0,0,"eachany","31"
"0% (0/0)","Female",44,1,0,"none","4","when they find their marbles",0,0,1,1,"Some college, no degree",0,1,"english",1,1,1,1,1,0,0,1,1,0,"eachany","13"
"0% (0/0)","Female",57,1,0,"I found the questions to be somewhat ambiguous ...","4","The girls will be satisfied when they find all ...",0,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",0,1,1,1,0,0,0,1,0,0,"eachany","15"
"0% (0/0)","Female",33,1,0,"{}","4","When they find the marbles",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,0,0,0,1,0,1,"eachany","7"
"0% (0/0)","Male",7,1,1,"Great survey easy to understand","4","No",0,0,0,0,"Bachelors degree",0,1,"English",1,0,1,1,NA,1,0,0,1,1,"eachany","45"
"0% (0/1)","Male",30,1,0,"{}","4","when they find their marbles",0,0,0,1,"Bachelors degree",0,1,"English",0,0,1,1,0,0,0,1,0,0,"eachany","37"
"0% (0/0)","Female",7,1,0,"{}","4","When they can show their special edition marble...",1,0,1,1,"High School Graduate",0,1,"English",0,1,1,1,1,1,0,1,1,1,"eachany","17"
"0% (0/0)","Female",39,1,0,"{}","4","When they find a marble for their cousin to pla...",0,0,0,1,"Some college, no degree",0,1,"English",0,0,1,1,0,0,0,1,0,0,"anyall","20"
"0% (0/0)","Male",4,1,0,"{}","4","when they show their aunt a special edition set",0,0,1,1,"Bachelors degree",0,1,"English",0,0,1,1,0,0,0,0,1,1,"anyall","18"
"0% (0/0)","Female",8,1,0,"Thank you","4","When they find their marble sets",0,0,1,1,"Bachelors degree",1,1,"English",0,1,1,1,0,0,0,1,0,0,"anyall","3"
"0% (0/0)","Male",40,1,0,"{}","4","when the find the special edition marbles",1,0,1,1,"High School Graduate",0,1,"english",0,1,1,1,1,1,0,1,1,1,"anyall","4"
"0% (0/0)","Male",30,1,0,"{}","4","when the marbles are found and they are able to...",0,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"english",0,1,1,1,0,0,0,1,0,0,"anyall","24"
"0% (0/0)","Female",40,1,0,"{}","4","when they find the marbles",1,0,1,1,"Some college, no degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"anyall","23"
"0% (0/0)","Female",40,1,0,"{}","4","When they find their marbles",0,0,0,1,"High School Graduate",0,1,"English",0,0,1,1,0,0,0,1,0,0,"anyall","21"
"0% (0/0)","Female",31,0,0,"{}","4","When they find there missing marbles",0,0,0,0,"High School Graduate",0,0,"English",0,0,0,0,0,0,1,0,0,0,"anyall","5"
"0% (0/0)","Male",8,1,0,"{}","4","when they find the special edition set of marbles",1,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",0,1,1,1,1,1,0,1,1,1,"anyall","43"
"0% (0/0)","Male",44,1,0,"{}","4","When they can show their aunt a special edition...",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,1,1,0,0,1,1,"anyall","26"
"0% (0/0)","Male",54,1,0,"thank you","1 set of 4","When they find the marbles.",1,0,1,1,"Bachelors degree",0,1,"english",0,1,1,1,1,1,0,1,1,1,"anyall","42"
"0% (0/0)","Female",37,1,0,"N/A","4","When the marbles are found.",0,0,1,1,"Bachelors degree",0,1,"English",0,0,0,1,1,0,0,1,1,0,"anyall","38"
"0% (0/0)","Female",60,1,0,"{}","1","when they find a special edition set",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"anyall","35"
"0% (0/0)","Female",30,1,0,"{}","4","When they find the marbles",0,0,0,1,"High School Graduate",0,1,"English",0,0,1,1,0,0,0,1,0,0,"anyall","28"
"100% (0/0)","Female",39,1,0,"no issues","4","when they find their marbles",0,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",1,1,1,1,0,0,0,1,0,0,"allall","8"
"100% (0/0)","Female",59,1,0,"{}","set of 4","finding all marbles",1,0,1,1,"High School Graduate",1,1,"english",1,1,1,1,1,1,0,0,1,1,"allall","32"
"0% (0/0)","Male",3,1,0,"{}","4","When every marble is found",0,0,1,1,"Associates degree",1,1,"English",0,1,1,1,1,1,0,1,1,1,"allall","33"
"0% (0/0)","Male",47,1,0,"tricky question","4","when they found the marbles",1,0,0,0,"Associates degree",0,0,"Burmese",0,0,0,0,0,1,0,0,0,1,"allall","22"
"0% (0/0)","Male",30,1,0,"{}","4","no",0,0,1,1,"Bachelors degree",0,1,"English",1,1,0,1,0,0,0,0,1,0,"allall","11"
"0% (0/0)","Female",30,1,0,"{}","4","When they find every last one",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"allall","25"
"0% (0/0)","Female",37,1,0,"Interesting questions - I had to think about so...","4","When they find every last one of the marbles",1,0,1,1,"Some college, no degree",0,1,"English",0,1,1,1,0,1,0,1,1,1,"allall","29"
"0% (0/0)","Female",9,1,0,"{}","4","when they find the marbles",0,0,0,1,"Some college, no degree",0,1,"English",1,0,1,1,0,0,0,1,0,0,"allall","14"
"0% (0/0)","Female",55,1,NA,"{}","4","When they find all the marbles",1,0,1,1,"Associates degree",0,1,"English",0,0,1,1,0,0,0,1,0,0,"allall","41"
"100% (1/1)","Female",50,1,0,"{}","4","when they find all their marbles",1,0,1,1,"Some college, no degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"allall","1"
"0% (0/0)","Female",9,1,0,"{}","4","when they find all their marbles",0,0,0,1,"Some High School",0,1,"English",0,1,1,1,0,0,0,1,0,0,"allall","12"
"0% (0/0)","Female",31,1,0,"{}","4","when they find all of the marbles.",1,0,1,1,"Some college, no degree",0,1,"english",0,1,1,1,0,1,0,1,1,1,"allall","2"
"0% (0/0)","Male",54,1,0,"{}","4","when all their marbles are found",1,0,1,1,"Graduate degree (Masters, Doctorate, etc.)",0,1,"English",0,1,1,1,0,0,0,1,1,1,"allall","40"
"0% (0/0)","Male",3,1,0,"{}","4","Finding every last one of their marbles.",1,0,1,1,"Bachelors degree",0,1,"english",0,1,1,1,1,1,0,1,1,1,"allall","9"
"100% (1/1)","Male",40,1,0,"{}","4","When they find their marbles.",1,0,1,1,"Bachelors degree",0,1,"English",0,1,1,1,1,1,0,1,1,1,"allall","6"
